r_leg,W_winding[mm],Mag_B[tesla]
1.2,1,0.16392
1.3,1,0.134177
1.4,1,0.114181
1.5,1,0.0980335
1.6,1,0.0860194
1.7,1,0.0792462
1.8,1,0.0739424
1.9,1,0.0638018
2,1,0.0569108
2.1,1,0.0528956
2.2,1,0.0473917
1.2,1.5,0.156456
1.3,1.5,0.14008
1.4,1.5,0.116454
1.5,1.5,0.101387
1.6,1.5,0.0877972
1.7,1.5,0.0765796
1.8,1.5,0.0696366
1.9,1.5,0.0649457
2,1.5,0.0575569
2.1,1.5,0.0510959
2.2,1.5,0.0465443
1.2,2,0.155106
1.3,2,0.134734
1.4,2,0.115443
1.5,2,0.103807
1.6,2,0.0858575
1.7,2,0.0800139
1.8,2,0.0688178
1.9,2,0.0591145
2,2,0.0576802
2.1,2,0.0517221
2.2,2,0.0455303
1.2,2.5,0.162923
1.3,2.5,0.137544
1.4,2.5,0.114442
1.5,2.5,0.103326
1.6,2.5,0.0867331
1.7,2.5,0.0809258
1.8,2.5,0.0718988
1.9,2.5,0.0651906
2,2.5,0.0569955
2.1,2.5,0.0507773
2.2,2.5,0.0479198
1.2,3,0.156006
1.3,3,0.135028
1.4,3,0.109394
1.5,3,0.100907
1.6,3,0.0925999
1.7,3,0.0782974
1.8,3,0.070201
1.9,3,0.0625764
2,3,0.0568395
2.1,3,0.0531448
2.2,3,0.0458581
1.2,3.5,0.168952
1.3,3.5,0.1369
1.4,3.5,0.121846
1.5,3.5,0.103735
1.6,3.5,0.0956532
1.7,3.5,0.0781037
1.8,3.5,0.0712982
1.9,3.5,0.0660274
2,3.5,0.0580237
2.1,3.5,0.0522183
2.2,3.5,0.04783
1.2,4,0.165233
1.3,4,0.142824
1.4,4,0.117122
1.5,4,0.105349
1.6,4,0.0916845
1.7,4,0.0772898
1.8,4,0.075063
1.9,4,0.0667123
2,4,0.0572723
2.1,4,0.04891
2.2,4,0.0473329
1.2,4.5,0.168066
1.3,4.5,0.14224
1.4,4.5,0.122597
1.5,4.5,0.106113
1.6,4.5,0.0886135
1.7,4.5,0.0836872
1.8,4.5,0.0737596
1.9,4.5,0.0642215
2,4.5,0.0558248
2.1,4.5,0.0533996
2.2,4.5,0.0496841
1.2,5,0.170634
1.3,5,0.146079
1.4,5,0.121202
1.5,5,0.10533
1.6,5,0.0919893
1.7,5,0.0825904
1.8,5,0.0726435
1.9,5,0.0634756
2,5,0.0549616
2.1,5,0.0515552
2.2,5,0.0484099
1.2,5.5,0.177701
1.3,5.5,0.146506
1.4,5.5,0.121988
1.5,5.5,0.111079
1.6,5.5,0.096643
1.7,5.5,0.0793885
1.8,5.5,0.0718668
1.9,5.5,0.0636458
2,5.5,0.0614078
2.1,5.5,0.0546206
2.2,5.5,0.0499329
1.2,6,0.175707
1.3,6,0.14757
1.4,6,0.12574
1.5,6,0.111047
1.6,6,0.0957306
1.7,6,0.0846565
1.8,6,0.0743906
1.9,6,0.0634004
2,6,0.0584939
2.1,6,0.0542965
2.2,6,0.0487484
