r_leg,W_winding[mm],All_Core_Total_Loss
1.2,1,0.446866
1.3,1,0.339835
1.4,1,0.270281
1.5,1,0.220074
1.6,1,0.185238
1.7,1,0.158841
1.8,1,0.140136
1.9,1,0.125776
2,1,0.114712
2.1,1,0.106061
2.2,1,0.0994835
1.2,1.5,0.502963
1.3,1.5,0.383108
1.4,1.5,0.302506
1.5,1.5,0.245378
1.6,1.5,0.205331
1.7,1.5,0.175601
1.8,1.5,0.1546
1.9,1.5,0.138537
2,1.5,0.125888
2.1,1.5,0.116662
2.2,1.5,0.108633
1.2,2,0.567312
1.3,2,0.427952
1.4,2,0.335772
1.5,2,0.272392
1.6,2,0.225651
1.7,2,0.192847
1.8,2,0.168463
1.9,2,0.150734
2,2,0.13637
2.1,2,0.12608
2.2,2,0.117518
1.2,2.5,0.633213
1.3,2.5,0.475982
1.4,2.5,0.368303
1.5,2.5,0.296232
1.6,2.5,0.24523
1.7,2.5,0.208448
1.8,2.5,0.181395
1.9,2.5,0.161515
2,2.5,0.146132
2.1,2.5,0.134316
2.2,2.5,0.125529
1.2,3,0.695667
1.3,3,0.51532
1.4,3,0.399181
1.5,3,0.320204
1.6,3,0.262582
1.7,3,0.223509
1.8,3,0.193892
1.9,3,0.171681
2,3,0.155272
2.1,3,0.142134
2.2,3,0.131966
1.2,3.5,0.763602
1.3,3.5,0.564891
1.4,3.5,0.432778
1.5,3.5,0.343784
1.6,3.5,0.28188
1.7,3.5,0.237792
1.8,3.5,0.204951
1.9,3.5,0.181597
2,3.5,0.163099
2.1,3.5,0.149559
2.2,3.5,0.138565
1.2,4,0.833085
1.3,4,0.608353
1.4,4,0.464647
1.5,4,0.367369
1.6,4,0.300312
1.7,4,0.251163
1.8,4,0.216223
1.9,4,0.189266
2,4,0.169992
2.1,4,0.155334
2.2,4,0.143967
1.2,4.5,0.90676
1.3,4.5,0.65259
1.4,4.5,0.498248
1.5,4.5,0.392068
1.6,4.5,0.317157
1.7,4.5,0.264103
1.8,4.5,0.226161
1.9,4.5,0.196996
2,4.5,0.177587
2.1,4.5,0.160711
2.2,4.5,0.147301
1.2,5,0.968102
1.3,5,0.707141
1.4,5,0.53083
1.5,5,0.414503
1.6,5,0.33508
1.7,5,0.27806
1.8,5,0.235656
1.9,5,0.205178
2,5,0.182823
2.1,5,0.165782
2.2,5,0.151628
1.2,5.5,1.03484
1.3,5.5,0.752944
1.4,5.5,0.566571
1.5,5.5,0.440347
1.6,5.5,0.349775
1.7,5.5,0.291343
1.8,5.5,0.246561
1.9,5.5,0.213213
2,5.5,0.187598
2.1,5.5,0.171526
2.2,5.5,0.156659
1.2,6,1.10447
1.3,6,0.79827
1.4,6,0.600607
1.5,6,0.464912
1.6,6,0.369469
1.7,6,0.303802
1.8,6,0.255233
1.9,6,0.219959
2,6,0.19396
2.1,6,0.17405
2.2,6,0.159035
