"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","All_Core_Total_Loss []"
500,0,8,4,50.0499334389724
500,0,8,5,26.4765419341702
500,0,8,6,18.7854227615991
500,0,8,7,16.0215831673529
500,0,8,8,15.1622370547615
500,0,8,9,15.1669898864914
500,0,8,10,15.5734063820062
500,0,8,11,16.1300565397326
500,0,8,12,16.8361515891965
500,0,9,4,54.1405687035948
500,0,9,5,27.7471781932078
500,0,9,6,19.2991374645762
500,0,9,7,16.2799121328943
500,0,9,8,15.3712596735414
500,0,9,9,15.3406153712512
500,0,9,10,15.734795066537
500,0,9,11,16.3776720170991
500,0,9,12,17.0578201861705
500,0,10,4,58.1628222717011
500,0,10,5,28.9853704854605
500,0,10,6,19.6299263477245
500,0,10,7,16.4596691480089
500,0,10,8,15.538032870768
500,0,10,9,15.4435092246296
500,0,10,10,15.8484447337873
500,0,10,11,16.5039887253945
500,0,10,12,17.2598533658072
500,0,11,4,62.2652830057905
500,0,11,5,30.2701639593747
500,0,11,6,20.205828416007
500,0,11,7,16.6009847330593
500,0,11,8,15.5491352711933
500,0,11,9,15.5004286940363
500,0,11,10,15.9101698072716
500,0,11,11,16.5422657929518
500,0,11,12,17.3310413946882
500,0,12,4,66.3505093144058
500,0,12,5,31.5617090950065
500,0,12,6,20.5721721203402
500,0,12,7,16.6475223665384
500,0,12,8,15.4411913845308
500,0,12,9,15.3640594317939
500,0,12,10,15.8684486580139
500,0,12,11,16.5947103081272
500,0,12,12,17.4045132387176
500,0,13,4,70.4761550085381
500,0,13,5,33.0675966916666
500,0,13,6,21.0160514497881
500,0,13,7,16.7191100971362
500,0,13,8,15.4791291719593
500,0,13,9,15.3204939435911
500,0,13,10,15.7735567089217
500,0,13,11,16.5088118772229
500,0,13,12,17.3478940418293
500,0,14,4,74.5601272501688
500,0,14,5,34.2353080689008
500,0,14,6,21.3164668547789
500,0,14,7,16.7663657086754
500,0,14,8,15.2351099421185
500,0,14,9,15.1954441608774
500,0,14,10,15.5940630769727
500,0,14,11,16.3136095531435
500,0,14,12,17.2732264668483
500,0,15,4,78.9314597876712
500,0,15,5,35.5818529014103
500,0,15,6,21.7323888276249
500,0,15,7,16.8117414346033
500,0,15,8,15.2242097870053
500,0,15,9,15.1547259563568
500,0,15,10,15.4873344181324
500,0,15,11,16.2179546293336
500,0,15,12,17.1864034747385
